id,code,name,rating,review_number,address_line2,latitude,longitude,minimum_order_amount,minimum_delivery_fee,hero_listing_image,distance,url_key
90757,ujwo,Subway - Gulberg II,4.5,940,,31.50764015,74.35433765,249,99,https://images.deliveryhero.io/image/fd-pk/LH/ujwo-listing.jpg,1.476,subway-gulberg-ii-ujwo
15898,u3bg,Novu Pan Asian - Gulberg,4.7,2893,"C-3 Gulberg III Noor Jehan Road، Near Hussain Chowk, Block C 3 Gulberg III, Lahore",31.50701875,74.3486238,249,99,https://images.deliveryhero.io/image/fd-pk/LH/u3bg-listing.jpg,1.768,novu-pan-asian-gulberg
97542,kyrl,Xo Pan Asian Cuisine,4.8,721,,31.4882789,74.37882265,249,99,https://images.deliveryhero.io/image/fd-pk/LH/kyrl-listing.jpg,4.044,xo-pan-asian-cuisine
106784,uue9,ZORO Burger - Gulberg,4.8,307,,31.5307461,74.3522663,249,99,https://images.deliveryhero.io/image/fd-pk/LH/uue9-listing.jpg,1.307,zoro-burger-gulberg
83618,mjo8,DELISH PIZZA BAR - Cantt,4.8,1111,,31.5218296,74.3793411,249,99,https://images.deliveryhero.io/image/fd-pk/LH/mjo8-listing.jpg,1.959,delish-pizza-bar-cantt
101223,y0v9,Salt'n Pepper Express - Fortress Stadium,4.6,237,,31.5340819,74.363944,249,99,https://images.deliveryhero.io/image/fd-pk/LH/y0v9-listing.jpg,1.602,saltn-pepper-express-fortress-stadium
68575,r3rz,Mastani - Gulberg,4.7,1021,,31.518628,74.35149375,249,99,https://images.deliveryhero.io/image/fd-pk/LH/r3rz-listing.jpg,0.714,mastani-gulberg
4058,s6kf,OPTP - Fortress,4.4,2179,THE POTATO FACTORY INTERNATIONAL ,31.53261735,74.3632779,249,99,https://images.deliveryhero.io/image/fd-pk/LH/s6kf-listing.jpg,1.428,optp-fortress
52924,m0el,Pickadeli,4.1,6779,,31.50441865,74.33931784,249,99,https://images.deliveryhero.io/image/fd-pk/LH/m0el-listing.jpg,2.557,pickadeli
65300,qpig,Kitchen Cuisine - M.M Alam,4.9,1584,,31.52174203,74.35125432,249,99,https://images.deliveryhero.io/image/fd-pk/LH/qpig-listing.jpg,0.726,kitchen-cuisine-m-m-alam
92845,r0i0,Tim Hortons - Mall 1,4.8,1493,,31.5187509,74.3459751,249,99,https://images.deliveryhero.io/image/fd-pk/LH/r0i0-listing.jpg,1.224,tim-hortons-mall-1
98327,rvot,Arcadian Cafe - Gulberg,4.8,415,,31.5225715,74.3494249,249,99,https://images.deliveryhero.io/image/fd-pk/LH/rvot-listing.jpg,0.917,arcadian-cafe-gulberg-rvot
83618,mjo8,DELISH PIZZA BAR - Cantt,4.8,1111,,31.5218296,74.3793411,249,99,https://images.deliveryhero.io/image/fd-pk/LH/mjo8-listing.jpg,1.959,delish-pizza-bar-cantt
15898,u3bg,Novu Pan Asian - Gulberg,4.7,2893,"C-3 Gulberg III Noor Jehan Road، Near Hussain Chowk, Block C 3 Gulberg III, Lahore",31.50701875,74.3486238,249,99,https://images.deliveryhero.io/image/fd-pk/LH/u3bg-listing.jpg,1.768,novu-pan-asian-gulberg
55340,x4fc,Cock 'N' Bull - BAR B Q,4.6,1969,,31.5075666,74.3474513,249,99,https://images.deliveryhero.io/image/fd-pk/LH/x4fc-listing.jpg,1.781,cock-n-bull-bar-b-q
105227,dw5e,Hico Dairy Ice Cream,5,277,,31.5255837,74.3571099,249,99,https://images.deliveryhero.io/image/fd-pk/LH/dw5e-listing.jpg,0.6,hico-dairy-ice-cream
115060,mujv,Baba Jamal Tikka Shop - Cantt,2.8,11,,31.5283058,74.3785189,249,99,https://images.deliveryhero.io/image/fd-pk/LH/mujv-listing.jpg,2.071,baba-jamal-tikka-shop-cantt
114923,a34d,Burger Lab – Gulberg LHR,4.4,106,,31.5054136,74.3322369,249,99,https://images.deliveryhero.io/image/fd-pk/LH/a34d-listing.jpg,3.014,burger-lab-gulberg-lhr
6187,s8df,Biryani King & Burgers,4.6,3472,14-civic center bakat market near cakes and bakes new garden town,31.499368,74.321848,249,99,https://images.deliveryhero.io/image/fd-pk/LH/s8df-listing.jpg,4.206,biryani-king-and-burgers
103985,l6zz,Pret Brasserie,4.9,249,,31.5167383,74.3524897,249,99,https://images.deliveryhero.io/image/fd-pk/LH/l6zz-listing.jpg,0.718,pret-brasserie
11062,t5xl,The Coffee Bean & Tea Leaf - Gulberg,4.9,2720,"64-A, Unit # 3,4, Fountain Avenue, Main Boulevard, Gulberg, Lahore",31.52739,74.35051,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t5xl-listing.JPG,1.104,the-coffee-bean-and-tea-leaf-gulberg
103567,f0ua,Karachi Hot N Spicy - Cantt,4.4,920,,31.543413,74.4236883,249,99,https://images.deliveryhero.io/image/fd-pk/LH/f0ua-listing.jpg,6.667,karachi-hot-n-spicy-cantt-f0ua
64960,wrez,Malik Fast Food,3.8,336,,31.5283591,74.3600205,249,99,https://images.deliveryhero.io/image/fd-pk/LH/wrez-listing.jpg,0.897,malik-fast-food-wrez
73164,hmnj,Special Chinese Food Corner,4.9,783,,31.5005925,74.34870365,249,99,https://images.deliveryhero.io/image/fd-pk/LH/hmnj-listing.jpg,2.396,special-chinese-food-corner
111964,bewf,Polymath,4.9,84,,31.5152689,74.3443114,249,99,https://images.deliveryhero.io/image/fd-pk/LH/bewf-listing.jpg,1.481,polymath
100051,ypbj,Ashraf Fresh Tikka Shop,4.8,396,,31.5235666,74.3458383,249,99,https://images.deliveryhero.io/image/fd-pk/LH/ypbj-listing.jpg,1.274,ashraf-fresh-tikka-shop
56186,x1z3,Moosa Bar B Q-Cantt,4.7,530,,31.5289478,74.378485,249,99,https://images.deliveryhero.io/image/fd-pk/LH/x1z3-listing.jpg,2.1,moosa-bar-b-q-cantt
23964,n2es,Karachi Zam Zam Biryani & Murgh Pulao,4.6,4875,"Liberty Market, Opp. Liberty Burger",31.5107631,74.343405,249,99,https://images.deliveryhero.io/image/fd-pk/LH/n2es-listing.jpg,1.804,karachi-zam-zam-biryani-and-murgh-pulao-n2es
12399,t2ri,Cafe Beirut,4.7,1296,"Opposite, Mall 1, Gulberg, Lahore",31.51932225,74.34607225,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t2ri-listing.jpg,1.207,cafe-beirut
110450,q9em,The Grill Workshop,4.9,387,,31.5258697,74.3191937,249,99,https://images.deliveryhero.io/image/fd-pk/LH/q9em-listing.jpg,3.799,the-grill-workshop
